Produce_Type,Harvest_Date,Measurement_Date,Initial_Brix_Level,Initial_Weight,Initial_Damage_Score,Pretreatment,Avg_Temp_C,Avg_Humidity_%,Packaging,Age_at_Measurement,Remaining_Shelf_Life_Days
grape,2025-10-05,2025-11-02,17.2,204.6,,none,15.238442690503462,78.2763582768963,loose,28,0.0
grape,2025-08-19,2025-11-02,17.5,51.300000000000004,0.01,washed,4.257365597929455,69.74830192821852,sealed_punnet,75,0.0
banana,2025-09-16,2025-11-04,20.7,160.7,1.49,none,4.367903697915157,60.87696298664709,perforated_bag,49,0.0
grape,2025-10-31,2025-11-03,16.8,389.5,0.45,pre-cooled,8.998730749470441,71.36927785255966,loose,3,11.310030552533918
apple,2025-11-01,2025-11-02,11.9,187.6,1.67,,16.112724560515943,45.34987620034774,loose,1,33.82253839515072
banana,2025-10-28,2025-11-04,20.3,114.4,1.04,none,,73.8435171761176,perforated_bag,7,0.734909090308209
potato,2025-09-22,2025-11-04,6.9,342.8,2.89,pre-cooled,,80.8212279471304,perforated_bag,43,7.68522669266153
banana,2025-08-27,2025-11-03,19.9,119.3,1.17,waxed,,,carton,68,0.0
strawberry,2025-09-27,2025-11-04,8.2,342.7,2.71,washed,13.482806921644853,,loose,38,0.0
grape,2025-11-01,2025-11-04,18.5,328.0,1.05,waxed,,75.87047068238171,carton,3,11.220657332821625
tomato,2025-09-05,2025-11-04,,191.6,0.92,washed,2.0197845167426562,72.87838578288374,perforated_bag,60,0.0
strawberry,2025-09-01,2025-11-04,9.2,374.0,,none,6.986253328979053,75.9707754934804,sealed_punnet,64,0.0
apple,2025-10-01,2025-11-02,11.3,135.6,1.9,none,4.896522827601716,48.4482395243653,carton,32,6.96548988491717
tomato,2025-09-24,2025-11-02,6.8,110.2,1.31,waxed,7.212152570443616,77.57550390722764,sealed_punnet,39,0.0
strawberry,2025-11-01,2025-11-03,7.1,377.1,1.41,pre-cooled,7.037069102984048,52.08981237076227,loose,2,5.275769814016914
potato,2025-08-18,2025-11-04,5.0,332.1,2.62,pre-cooled,6.15660981190234,73.71387377418024,loose,78,0.0
apple,2025-09-22,2025-11-04,,125.3,2.97,waxed,10.17697726047571,70.06567517796674,sealed_punnet,43,0.0
potato,2025-09-14,2025-11-04,7.7,,4.52,none,8.27425189922411,65.80575765766197,perforated_bag,51,0.0
apple,2025-09-12,2025-11-02,11.5,132.1,1.76,waxed,10.224487194135861,88.63886524417106,perforated_bag,51,0.0
apple,2025-10-07,2025-11-02,,141.0,1.71,none,10.47056338204458,87.1707079698011,perforated_bag,26,12.154144122345013
orange,2025-10-26,2025-11-03,11.6,149.2,0.48,pre-cooled,11.59732353343427,79.73832920911788,sealed_punnet,8,25.623821579880133
grape,2025-09-06,2025-11-03,20.5,182.8,0.27,,7.2734587321693525,84.4053558496201,sealed_punnet,58,0.0
tomato,2025-08-19,2025-11-03,6.2,140.3,1.08,washed,6.830072397990057,83.27183249036024,sealed_punnet,76,0.0
grape,2025-09-07,2025-11-04,17.4,479.2,1.25,none,6.125940193410068,73.62728182902184,sealed_punnet,58,0.0
potato,2025-08-19,2025-11-02,7.4,229.2,1.7,washed,4.61282512772638,59.851527753141355,perforated_bag,75,0.0
banana,2025-09-10,2025-11-03,23.9,102.6,3.27,pre-cooled,6.692861168835399,66.91063108609639,,54,0.0
tomato,2025-09-09,2025-11-02,6.2,177.2,,waxed,2.489322528171636,65.62174960084877,perforated_bag,54,0.0
strawberry,2025-09-13,2025-11-02,7.4,243.9,,washed,13.161480790882024,62.114171064627854,loose,50,0.0
strawberry,2025-09-28,2025-11-03,6.1,159.3,0.87,waxed,15.431300951872567,40.64740954572418,loose,36,0.0
orange,2025-09-23,2025-11-02,9.3,126.7,5.0,none,7.648729035188001,62.2912819312396,sealed_punnet,40,0.0
banana,2025-09-07,2025-11-02,22.8,114.4,0.6,washed,-0.07542775997282192,76.86454314769428,sealed_punnet,56,0.0
grape,2025-08-19,2025-11-02,17.4,204.8,1.85,pre-cooled,3.6845427667297344,91.61301730608155,carton,75,0.0
grape,2025-09-12,2025-11-04,19.4,236.7,3.77,washed,12.3664685910379,85.32465260551147,carton,53,0.0
tomato,2025-10-25,2025-11-04,3.4,,0.3,washed,7.050432155173324,93.72005680472304,perforated_bag,10,4.104222049533073
grape,2025-10-03,2025-11-03,19.0,369.1,,pre-cooled,4.679866539909049,76.30740577286092,sealed_punnet,31,0.0
potato,2025-10-22,2025-11-04,6.3,385.1,0.1,waxed,5.392627422505346,75.60896607117161,carton,13,41.93805925330125
banana,2025-09-28,2025-11-03,23.8,171.5,1.8,pre-cooled,7.392859619857667,80.88317206484577,perforated_bag,36,0.0
apple,2025-10-09,2025-11-02,,201.8,1.92,none,8.888814175468605,,loose,24,13.257833362518896
banana,2025-10-12,2025-11-04,23.9,127.1,,pre-cooled,10.989174420493047,81.10370265433465,perforated_bag,23,0.0
potato,2025-08-22,2025-11-02,7.0,175.8,1.42,pre-cooled,19.76429887919663,54.725785494308674,loose,72,0.0
orange,2025-10-09,2025-11-02,12.8,194.5,0.58,waxed,6.972499057465326,73.69856945632316,carton,24,11.31847575527292
potato,2025-10-09,2025-11-02,7.2,172.8,0.68,none,15.853391647615556,68.00467324163749,loose,24,22.126779200255964
grape,2025-09-30,2025-11-02,17.1,,0.58,waxed,3.5235084096224654,71.78614158347007,sealed_punnet,33,0.0
apple,2025-09-09,2025-11-04,10.5,131.0,3.49,pre-cooled,7.677327607843583,83.72541591430479,sealed_punnet,56,0.0
banana,2025-08-18,2025-11-02,22.7,140.3,2.83,none,3.8446673362426917,72.86552848288153,carton,76,0.0
grape,2025-09-26,2025-11-04,17.0,191.1,3.78,washed,3.9529721966395384,,sealed_punnet,39,0.0
potato,2025-08-19,2025-11-03,4.9,390.8,1.71,waxed,15.450719958555563,55.185354337369965,loose,76,0.0
strawberry,2025-09-21,2025-11-02,8.8,263.6,3.6,washed,17.103045190268816,79.06226685049928,perforated_bag,42,0.0
